repository_name,signature_id,framework_id,signature_hash,machine_platform,should_alert,has_subtests,extra_options,tags,option_collection_hash,test,suite,lower_is_better,name,parent_signature,repository_id,measurement_unit,application,job_id,entry_id,push_timestamp,value,revision,push_id
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,453912064,1870676650,2024-04-08T13:49:41,331.3,1b56c653a5ee3a14ec0955b092498999e9333bfa,1405618
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,453960319,1870830742,2024-04-08T19:08:45,329.79999999999995,79551503d77c8353439905d86ec3033546f0c874,1405880
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,453997978,1870974581,2024-04-08T23:24:57,330.83000000000004,c19d16f89e851b3d8052fb11a8e8f0ae3f4cb9b7,1406026
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454020177,1871132855,2024-04-09T06:15:12,374.5,643848d855ebb8ab8d9d7009ca7ce9d21d267b34,1406147
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454046505,1871221966,2024-04-09T10:19:15,336.01,7cd4aaac69823ebb7b440d4e14d05275ba50a073,1406264
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454084791,1871417438,2024-04-09T14:26:21,336.97,34fef7e7706b912024aa3ba8826647e5ddc0a0ab,1406452
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454089208,1871464432,2024-04-09T17:03:26,338.51,e3c9c90141d0f6b39792470ce489a5af6123cc15,1406581
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454113118,1871540639,2024-04-09T20:18:20,332.63,42fe954d2d47356658d58a292876a6f15d6cbc51,1406718
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454134997,1871653231,2024-04-10T00:18:40,333.93,c6228adca1a9c453ab8514c86ee26ee9a7903d27,1406841
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454142039,1871721665,2024-04-10T05:00:45,352.53,a3f0d7e2d176a84f97e08088b78e1abe8da0a5f7,1406899
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454158778,1871794649,2024-04-10T09:31:15,328.48,cb449d228d38790ba76f64d551817f6a804c044e,1406973
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454189287,1871911451,2024-04-10T13:31:55,330.94,53228f89fadff09aff9d51b46652c77d94059014,1407087
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454209525,1872020422,2024-04-10T17:21:37,332.38,a30d53cfa601940935af0c765cccbdde2178bb67,1407259
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454235837,1872151952,2024-04-10T20:55:18,333.43,bc425d90bbe9987cc754323772553d4be3e6de83,1407422
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454256427,1872282804,2024-04-11T01:15:30,331.99,1ae79ee05e2fe6a64e1916d65c78979921af1e5e,1407545
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454275037,1872421106,2024-04-11T06:36:24,331.79999999999995,7a8a0223fffe0f06dd2e7aad79bf1920cf1430c0,1407612
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454308512,1872641554,2024-04-11T11:27:44,337.21000000000004,747c6705d00627b032063055173575d6e6043880,1407747
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454325278,1872755034,2024-04-11T15:41:30,336.35,bbca818d6385ef61c987f967ebccfe9df63fc36b,1407834
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454339347,1872845985,2024-04-11T18:08:24,326.53,036ac9a41b52b5af1836d103d3a7aefad37e2b87,1407970
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454371930,1872983542,2024-04-11T23:15:25,330.90999999999997,90ef908ff18573cca9f4f0e5d676df56875c68b5,1408175
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454404733,1873190481,2024-04-12T14:13:45,330.23,be4463b26a49bdb9c791eaf7d0b41ff9eb0294d3,1408318
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454423344,1873294618,2024-04-12T20:21:58,327.90999999999997,5e5bc998487f4e6ee9fe6fe52ca5eb66cd37de03,1408379
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454440915,1873405648,2024-04-13T06:05:05,328.31,39657b697a7ffcda0f07cae917b68f1e84f57d54,1408439
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454464369,1873510742,2024-04-13T20:36:37,332.0,1dc823d4e96db6fe0450fcb588466eff7038b4cc,1408512
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454484832,1873658850,2024-04-14T12:41:18,329.28,25a22c2f939167a119d912b3fe61312db879d576,1408562
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454506005,1873809294,2024-04-15T00:20:26,329.49,8c457b0d7626241855c3c025a2531eb5f00b8cfc,1408605
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454512081,1873844287,2024-04-15T05:51:41,328.82,4b17d2a2a7ae64b3c8d364d200a6b97cc636dffd,1408627
autoland,5095902,1,d4ec2e7c264e60d0b229a9ff7d8a15c90e73523d,windows10-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,issue5475.pdf,pdfpaint,True,pdfpaint issue5475.pdf opt e10s fission stylo webrender-sw,4768500,77,ms,firefox,454540094,1873974542,2024-04-15T10:25:42,334.27,177f569e862519d4372977ba20b630f95e24ef1c,1408738
